Track Name,Track ID,Artists,Artist Count,Track_Name
Hot Girl Summer,1Gf26Mfp45ofO8A8dwCS1P,milky sad,1,hot girl summer
Cold Water (feat. Justin Bieber & MØ),6Bjtr3tPdto5nyuLYf61sN,major lazer,3,cold water feat justin bieber  mø
Cold Water (feat. Justin Bieber & MØ),6Bjtr3tPdto5nyuLYf61sN,justin bieber,3,cold water feat justin bieber  mø
Cold Water (feat. Justin Bieber & MØ),6Bjtr3tPdto5nyuLYf61sN,mø,3,cold water feat justin bieber  mø
Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,one direction,1,drag me down
Tip Toe In Rick Owens - Chopped Not Slopped,7L4hymrOCGc0YKHA0n8dGs,riff raff,3,tip toe in rick owens  chopped not slopped
Tip Toe In Rick Owens - Chopped Not Slopped,7L4hymrOCGc0YKHA0n8dGs,sada baby,3,tip toe in rick owens  chopped not slopped
Tip Toe In Rick Owens - Chopped Not Slopped,7L4hymrOCGc0YKHA0n8dGs,sauce walka,3,tip toe in rick owens  chopped not slopped
Grenade,4lLtanYk6tkMvooU0tWzG8,bruno mars,1,grenade
"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,chappell roan,1,good luck babe
Stronger (What Doesn't Kill You),1nInOsHbtotAmEOQhtvnzP,kelly clarkson,1,stronger what doesnt kill you
Splashy,1Q6zV75Yo6ckqE9qAikP0T,justina valentine,1,splashy
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,the chainsmokers,2,dont let me down
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,daya,2,dont let me down
"I Love You, I'm Sorry",51rfRCiUSvxXlCSCfIztBy,gracie abrams,1,i love you im sorry
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,62bOmKYxYg7dhrC6gH9vFn,*nsync,1,bye bye bye  from deadpool and wolverine soundtrack
Reminiscing,5OznfL8VRFx0fpfyLH19yy,eiza murphy,1,reminiscing
The Lazy Song,386RUes7n1uM1yfzgeUuwp,bruno mars,1,the lazy song
You & I,5ubTvvH1TzZ8UrcYqJgc3Q,touching faces,2,you  i
You & I,5ubTvvH1TzZ8UrcYqJgc3Q,dean andrew,2,you  i
Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,taylor swift,1,is it over now taylors version from the vault
I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,onerepublic,1,i aint worried
Igual Que Un Ángel (with Peso Pluma),6XaJfhwof7qIgbbXO5tIQI,kali uchis,2,igual que un ángel with peso pluma
Igual Que Un Ángel (with Peso Pluma),6XaJfhwof7qIgbbXO5tIQI,peso pluma,2,igual que un ángel with peso pluma
Elastic Heart,6kwAbEjseqBob48jCus7Sz,sia,1,elastic heart
PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,zayn,1,pillowtalk
Fàájì,2qJlG7VkKXttfLSH2apu1E,dap the contract,2,fàájì
Fàájì,2qJlG7VkKXttfLSH2apu1E,suté iwar,2,fàájì
Radio,3taCbWWTilb7eNMsAzOBq4,lana del rey,1,radio
The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,sia,2,the greatest feat kendrick lamar
The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,kendrick lamar,2,the greatest feat kendrick lamar
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,twenty one pilots,1,stressed out
Take Me To Church,3dYD57lRAUcMHufyqn9GcI,hozier,1,take me to church
LINK,1VQivuDScakUWIZN5dECPG,rvdent,2,link
LINK,1VQivuDScakUWIZN5dECPG,ku$h drifter,2,link
I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,taylor swift,1,i knew you were trouble
Live While We're Young,6Vh03bkEfXqekWp7Y1UBRb,one direction,1,live while were young
TOO MUCH,0rKWJnmo6Q0ovoPOLoLm0t,the kid laroi,3,too much
TOO MUCH,0rKWJnmo6Q0ovoPOLoLm0t,jung kook,3,too much
TOO MUCH,0rKWJnmo6Q0ovoPOLoLm0t,central cee,3,too much
Applause,5ka2ajep9OAvU5Sgduhiex,lady gaga,1,applause
The Only Exception,3ZHfX6kbiY7JVsB63lLOLu,paramore,1,the only exception
Winter In Tokyo,4e9pAAFSX0nkW7equTBYHo,ku$h drifter,2,winter in tokyo
Winter In Tokyo,4e9pAAFSX0nkW7equTBYHo,yng bnzo,2,winter in tokyo
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,nicki minaj,3,barbie world with aqua from barbie the album
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,ice spice,3,barbie world with aqua from barbie the album
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,aqua,3,barbie world with aqua from barbie the album
Are You That Somebody?,3Ch0HLsUMMcqSq6kVHi9wm,aaliyah,1,are you that somebody
Sorry,09CtPGIpYB4BrO8qb1RGsF,justin bieber,1,sorry
Poker Face,1QV6tiMFM6fSOKOGLMHYYg,lady gaga,1,poker face
London Bridge,1GH5tpvz5g1ZGKNBPBWkTm,fergie,1,london bridge
Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO,fifth harmony,2,worth it feat kid ink
Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO,kid ink,2,worth it feat kid ink
Super Shy,5sdQOyqq2IDhvmx2lHOpwd,newjeans,1,super shy
Waiting For Love,2Zr5zgU9qEoOPvJbU0GScq,avicii,1,waiting for love
Marry You,6SKwQghsR8AISlxhcwyA9R,bruno mars,1,marry you
Shape of You,7qiZfU4dY1lWllzX7mPBI3,ed sheeran,1,shape of you
22,6ce41JVa6KFaryfmC2bu2W,taylor swift,1,22
Rich Girl,2Y2q7PkD7lvuWr8YaZfWuv,gwen stefani,2,rich girl
Rich Girl,2Y2q7PkD7lvuWr8YaZfWuv,eve,2,rich girl
On Fire,6kxXgUyPMsP43mbXAMVjWY,metr,1,on fire
Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,doja cat,1,paint the town red
Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,dua lipa,1,dance the night  from barbie the album
Starships,2EBCVPNAG46nbgs6jXPGvv,nicki minaj,1,starships
Blurred Lines,5PUvinSo4MNqW7vmomGRS7,robin thicke,3,blurred lines
Blurred Lines,5PUvinSo4MNqW7vmomGRS7,t.i.,3,blurred lines
Blurred Lines,5PUvinSo4MNqW7vmomGRS7,pharrell williams,3,blurred lines
Ghost Boy,6Sjl4KtCBxaJza3BTTXJE6,jacob tillberg,1,ghost boy
Complicated,5xEM5hIgJ1jjgcEBfpkt2F,avril lavigne,1,complicated
Apologize,3VVuTYI50T7t0zznR91LNG,onerepublic,1,apologize
Fuck You,1zneM1cLjM6w8BFmukl2Lr,ceelo green,1,fuck you
Lil Boo Thang,0cVyQfDyRnMJ0V3rjjdlU3,paul russell,1,lil boo thang
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,calvin harris,2,this is what you came for
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,rihanna,2,this is what you came for
BANG!,552gcmAoC0Khwyzca21xQn,ku$h drifter,1,bang
Attention,5cF0dROlMOK5uNZtivgu50,charlie puth,1,attention
Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,flo rida,2,club cant handle me feat david guetta
Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,david guetta,2,club cant handle me feat david guetta
So Sick,5203pcq3cNteJuOVhIEnt6,ne-yo,1,so sick
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,camila cabello,2,havana feat young thug
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,young thug,2,havana feat young thug
A Thousand Miles,4pextOBn0xoPnKf7qrDjWg,vanessa carlton,1,a thousand miles
Run the World (Girls),1uXbwHHfgsXcUKfSZw5ZJ0,beyoncé,1,run the world girls
Cherry Chupacabra Freestyle - Chopped Not Slopped,0ZJgw1nxA8FTD5VyVb7448,riff raff,1,cherry chupacabra freestyle  chopped not slopped
Strong Enough (feat. Bailey Zimmerman),66VuIGcM7fd8NLMoORCqVJ,jonas brothers,2,strong enough feat bailey zimmerman
Strong Enough (feat. Bailey Zimmerman),66VuIGcM7fd8NLMoORCqVJ,bailey zimmerman,2,strong enough feat bailey zimmerman
Issues,7vu0JkJh0ldukEYbTVcqd0,julia michaels,1,issues
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,britney spears,1,oopsi did it again
Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,pinkpantheress,2,boys a liar pt 2
