Track Name,Track ID,Artists,Artist Count
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,"beyoncé, jay-z",2
What the Hell,2z4U9d5OAA4YLNXoCgioxo,avril lavigne,1
Judas,7F25roCtYi55JouckaayPC,lady gaga,1
HOT TO GO!,4xdBrk0nFZaP54vvZj0yx7,chappell roan,1
Who Says,6dn9ndETOjczUSQO5UhKJa,selena gomez & the scene,1
Bitch I'm Madonna,2bZMOs3RjmhhGca6MEzjyl,"madonna, nicki minaj",2
...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,britney spears,1
(You Drive Me) Crazy,1DSJNBNhGZCigg9ll5VeZv,britney spears,1
Maybe You’re The Problem,6WDG2ybdV3SBXV0lwBGu4D,ava max,1
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,taylor swift,1
Water,5aIVCx5tnk0ntmdiinnYvw,tyla,1
Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,doja cat,1
Wide Awake,5JLv62qFIS1DR3zGEcApRt,katy perry,1
Your Song,4c2W3VKsOFoIg2SFaO6DY5,rita ora,1
I Will Never Let You Down,03rhu2vIylSFLUagt7wi5D,rita ora,1
How We Do (Party),5zBDg6Pp5LFyhaSCqm3p5d,rita ora,1
Let You Love Me,6xtcFXSo8H9BZN637BMVKS,rita ora,1
TEXAS HOLD 'EM,7AYmToZ5y67fBjq4RLFbuq,beyoncé,1
Don't Be so Hard on Yourself,1KtVVUM6OkpyOsbVfbMybX,jess glynne,1
Same Old Love,6ZANrVuAMp2rpjhfbOuJly,selena gomez,1
We Found Love,0U10zFw4GlBacOy9VDGfGL,"rihanna, calvin harris",2
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,"calvin harris, rihanna",2
Breakin' Dishes,3XeHVrTKlricOyk5VsVKxd,rihanna,1
Shut Up And Drive,7AQjiRtIpr33P8UT98iveh,rihanna,1
Disturbia,30VrBsh1STRBoIrhQOAwzK,rihanna,1
What's My Name?,5FTCKvxzqy72ceS4Ujux4N,"rihanna, drake",2
California King Bed,0uIGzK6ukV0A5yWoCxPkRL,rihanna,1
If It's Lovin' That You Want,1Q29dre9FCspRSarHziizl,rihanna,1
You Da One,3Yt9lRtS5V4nbJnwcgFgvC,rihanna,1
Where Have You Been,3tyPOhuVnt5zd5kGfxbCyL,rihanna,1
Watch n' Learn,1ROCX1nquOZ5i05YfGysu0,rihanna,1
Talk That Talk,57mKcbEq7nMqtJ4gqJvWcp,"rihanna, jay-z",2
Drunk On Love,5slPHHHP6vsqtY4r977QLR,rihanna,1
Pour It Up,5r67bGhYXZNqk2m2Wupfmu,rihanna,1
Right Now,42Ow7PS3YtCWplolUUigDo,"rihanna, david guetta",2
Pink Pony Club,1k2pQc5i348DCHwbn5KTdc,chappell roan,1
Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,karol g,1
You'll Always Find Your Way Back Home,12wSL3tGk3MtbDEhfG7xy3,hannah montana,1
