Track Name,Track ID,Artists,Artist Count
cherry chupacabra freestyle  chopped not slopped,0ZJgw1nxA8FTD5VyVb7448,riff raff,1
strong enough feat bailey zimmerman,66VuIGcM7fd8NLMoORCqVJ,jonas brothers,2
strong enough feat bailey zimmerman,66VuIGcM7fd8NLMoORCqVJ,bailey zimmerman,2
issues,7vu0JkJh0ldukEYbTVcqd0,julia michaels,1
oopsi did it again,6naxalmIoLFWR0siv8dnQQ,britney spears,1
boys a liar pt 2,6AQbmUe0Qwf5PZnt4HmTXv,pinkpantheress,2
boys a liar pt 2,6AQbmUe0Qwf5PZnt4HmTXv,ice spice,2
in the name of love,23L5CiUhw2jV1OIMwthR3S,martin garrix,2
in the name of love,23L5CiUhw2jV1OIMwthR3S,bebe rexha,2
wild ones feat sia,1NpW5kyvO4XrNJ3rnfcNy3,flo rida,2
wild ones feat sia,1NpW5kyvO4XrNJ3rnfcNy3,sia,2
marry the night,02d1E4NRuh7OEQO4vCb9PD,lady gaga,1
theres nothing holdin me back,7JJmb5XwzOO8jgpou264Ml,shawn mendes,1
maps,5rwdhliMmo0aAQ08vU0AOZ,maroon 5,1
smile,79z9QkhHePTFsSeVw9uyj0,lily allen,1
three trees,6NWq3JOKCQ21Av7y2q5RFb,jacob tillberg,1
cool kids,13P5rwmk2EsoFRIz9UCeh9,echosmith,1
telephone,6nCDnzErqalOaIY3EJM8NK,lady gaga,2
telephone,6nCDnzErqalOaIY3EJM8NK,beyoncé,2
like im gonna lose you feat john legend,2YlZnw2ikdb837oKMKjBkW,meghan trainor,2
like im gonna lose you feat john legend,2YlZnw2ikdb837oKMKjBkW,john legend,2
photograph,1HNkqx9Ahdgi1Ixy2xkKkL,ed sheeran,1
flames,33IOhptvC2Qoy2UhjiHXLV,david guetta,2
flames,33IOhptvC2Qoy2UhjiHXLV,sia,2
wrecking ball,2vwlzO0Qp8kfEtzTsCXfyE,miley cyrus,1
flowers  rudelies remix,5IR4eSVnuXPu8pJtQuzC5I,jacob tillberg,2
flowers  rudelies remix,5IR4eSVnuXPu8pJtQuzC5I,rudelies,2
